,latlon,pop,lat,lon
26,"(37.746299333333333, -122.48215755555556)",1461,37.74629933333333,-122.48215755555556
27,"(37.739269555555552, -122.48215755555556)",618,37.73926955555555,-122.48215755555556
28,"(37.732239777777778, -122.48215755555556)",805,37.73223977777778,-122.48215755555556
29,"(37.725209999999997, -122.48215755555556)",5991,37.72521,-122.48215755555556
30,"(37.788477999999998, -122.46782233333333)",982,37.788478,-122.46782233333333
31,"(37.781448222222217, -122.46782233333333)",1648,37.78144822222222,-122.46782233333333
32,"(37.774418444444443, -122.46782233333333)",2204,37.77441844444444,-122.46782233333333
33,"(37.767388666666662, -122.46782233333333)",2960,37.76738866666666,-122.46782233333333
34,"(37.760358888888888, -122.46782233333333)",1195,37.76035888888889,-122.46782233333333
35,"(37.753329111111107, -122.46782233333333)",716,37.75332911111111,-122.46782233333333
36,"(37.746299333333333, -122.46782233333333)",670,37.74629933333333,-122.46782233333333
37,"(37.739269555555552, -122.46782233333333)",5,37.73926955555555,-122.46782233333333
38,"(37.732239777777778, -122.46782233333333)",421,37.73223977777778,-122.46782233333333
39,"(37.725209999999997, -122.46782233333333)",245,37.72521,-122.46782233333333
40,"(37.788477999999998, -122.45348711111112)",5459,37.788478,-122.45348711111112
41,"(37.781448222222217, -122.45348711111112)",1059,37.78144822222222,-122.45348711111112
42,"(37.774418444444443, -122.45348711111112)",155,37.77441844444444,-122.45348711111112
43,"(37.767388666666662, -122.45348711111112)",2383,37.76738866666666,-122.45348711111112
44,"(37.760358888888888, -122.45348711111112)",1576,37.76035888888889,-122.45348711111112
45,"(37.753329111111107, -122.45348711111112)",1085,37.75332911111111,-122.45348711111112
46,"(37.746299333333333, -122.45348711111112)",1402,37.74629933333333,-122.45348711111112
47,"(37.739269555555552, -122.45348711111112)",6,37.73926955555555,-122.45348711111112
48,"(37.732239777777778, -122.45348711111112)",536,37.73223977777778,-122.45348711111112
49,"(37.725209999999997, -122.45348711111112)",1215,37.72521,-122.45348711111112
50,"(37.788477999999998, -122.43915188888889)",4720,37.788478,-122.43915188888889
51,"(37.781448222222217, -122.43915188888889)",7121,37.78144822222222,-122.43915188888889
52,"(37.774418444444443, -122.43915188888889)",1727,37.77441844444444,-122.43915188888889
53,"(37.767388666666662, -122.43915188888889)",886,37.76738866666666,-122.43915188888889
54,"(37.760358888888888, -122.43915188888889)",1100,37.76035888888889,-122.43915188888889
55,"(37.753329111111107, -122.43915188888889)",675,37.75332911111111,-122.43915188888889
56,"(37.746299333333333, -122.43915188888889)",914,37.74629933333333,-122.43915188888889
57,"(37.739269555555552, -122.43915188888889)",534,37.73926955555555,-122.43915188888889
58,"(37.732239777777778, -122.43915188888889)",533,37.73223977777778,-122.43915188888889
59,"(37.725209999999997, -122.43915188888889)",1234,37.72521,-122.43915188888889
60,"(37.788477999999998, -122.42481666666667)",3090,37.788478,-122.42481666666667
61,"(37.781448222222217, -122.42481666666667)",3516,37.78144822222222,-122.42481666666667
62,"(37.774418444444443, -122.42481666666667)",2380,37.77441844444444,-122.42481666666667
63,"(37.767388666666662, -122.42481666666667)",68,37.76738866666666,-122.42481666666667
64,"(37.760358888888888, -122.42481666666667)",3084,37.76035888888889,-122.42481666666667
65,"(37.753329111111107, -122.42481666666667)",1135,37.75332911111111,-122.42481666666667
66,"(37.746299333333333, -122.42481666666667)",1242,37.74629933333333,-122.42481666666667
67,"(37.739269555555552, -122.42481666666667)",1168,37.73926955555555,-122.42481666666667
68,"(37.732239777777778, -122.42481666666667)",835,37.73223977777778,-122.42481666666667
69,"(37.725209999999997, -122.42481666666667)",430,37.72521,-122.42481666666667
70,"(37.788477999999998, -122.41048144444444)",303,37.788478,-122.41048144444444
71,"(37.781448222222217, -122.41048144444444)",240,37.78144822222222,-122.41048144444444
72,"(37.774418444444443, -122.41048144444444)",10471,37.77441844444444,-122.41048144444444
73,"(37.767388666666662, -122.41048144444444)",6873,37.76738866666666,-122.41048144444444
74,"(37.760358888888888, -122.41048144444444)",3113,37.76035888888889,-122.41048144444444
75,"(37.753329111111107, -122.41048144444444)",1858,37.75332911111111,-122.41048144444444
76,"(37.746299333333333, -122.41048144444444)",911,37.74629933333333,-122.41048144444444
77,"(37.739269555555552, -122.41048144444444)",866,37.73926955555555,-122.41048144444444
78,"(37.732239777777778, -122.41048144444444)",1095,37.73223977777778,-122.41048144444444
79,"(37.725209999999997, -122.41048144444444)",7,37.72521,-122.41048144444444
80,"(37.788477999999998, -122.39614622222223)",22480,37.788478,-122.39614622222223
81,"(37.781448222222217, -122.39614622222223)",5,37.78144822222222,-122.39614622222223
82,"(37.774418444444443, -122.39614622222223)",12310,37.77441844444444,-122.39614622222223
83,"(37.767388666666662, -122.39614622222223)",5069,37.76738866666666,-122.39614622222223
84,"(37.760358888888888, -122.39614622222223)",1445,37.76035888888889,-122.39614622222223
85,"(37.753329111111107, -122.39614622222223)",3304,37.75332911111111,-122.39614622222223
86,"(37.746299333333333, -122.39614622222223)",8379,37.74629933333333,-122.39614622222223
87,"(37.739269555555552, -122.39614622222223)",1920,37.73926955555555,-122.39614622222223
88,"(37.732239777777778, -122.39614622222223)",1206,37.73223977777778,-122.39614622222223
89,"(37.725209999999997, -122.39614622222223)",3,37.72521,-122.39614622222223
90,"(37.788477999999998, -122.381811)",26184,37.788478,-122.381811
91,"(37.781448222222217, -122.381811)",58,37.78144822222222,-122.381811
92,"(37.774418444444443, -122.381811)",9189,37.77441844444444,-122.381811
93,"(37.767388666666662, -122.381811)",7561,37.76738866666666,-122.381811
94,"(37.760358888888888, -122.381811)",51,37.76035888888889,-122.381811
95,"(37.753329111111107, -122.381811)",6722,37.75332911111111,-122.381811
96,"(37.746299333333333, -122.381811)",4370,37.74629933333333,-122.381811
97,"(37.739269555555552, -122.381811)",2562,37.73926955555555,-122.381811
98,"(37.732239777777778, -122.381811)",24,37.73223977777778,-122.381811
99,"(37.725209999999997, -122.381811)",1614,37.72521,-122.381811
100,"(37.813000000000002, -122.518)",2522,37.813,-122.518
101,"(37.801111111111112, -122.518)",2950,37.80111111111111,-122.518
102,"(37.789222222222222, -122.518)",3033,37.78922222222222,-122.518
103,"(37.777333333333338, -122.518)",39,37.77733333333334,-122.518
104,"(37.765444444444448, -122.518)",1535,37.76544444444445,-122.518
105,"(37.753555555555558, -122.518)",1249,37.75355555555556,-122.518
106,"(37.741666666666667, -122.518)",1454,37.74166666666667,-122.518
107,"(37.729777777777784, -122.518)",60,37.729777777777784,-122.518
108,"(37.717888888888893, -122.518)",1552,37.71788888888889,-122.518
109,"(37.802999999999997, -122.508)",2524,37.803,-122.508
110,"(37.793111111111109, -122.508)",2530,37.79311111111111,-122.508
111,"(37.783222222222221, -122.508)",2448,37.78322222222222,-122.508
112,"(37.773333333333333, -122.508)",1567,37.77333333333333,-122.508
113,"(37.763444444444445, -122.508)",1236,37.763444444444445,-122.508
114,"(37.75355555555555, -122.508)",1013,37.75355555555555,-122.508
115,"(37.743666666666662, -122.508)",1,37.74366666666666,-122.508
116,"(37.733777777777775, -122.508)",1178,37.733777777777775,-122.508
117,"(37.723888888888887, -122.508)",1853,37.72388888888889,-122.508
118,"(37.713999999999999, -122.508)",3,37.714,-122.508
119,"(37.802999999999997, -122.49299999999999)",216,37.803,-122.493
120,"(37.793111111111109, -122.49299999999999)",434,37.79311111111111,-122.493
121,"(37.783222222222221, -122.49299999999999)",47,37.78322222222222,-122.493
122,"(37.773333333333333, -122.49299999999999)",1587,37.77333333333333,-122.493
123,"(37.763444444444445, -122.49299999999999)",695,37.763444444444445,-122.493
124,"(37.75355555555555, -122.49299999999999)",925,37.75355555555555,-122.493
125,"(37.743666666666662, -122.49299999999999)",1176,37.74366666666666,-122.493
126,"(37.733777777777775, -122.49299999999999)",1153,37.733777777777775,-122.493
127,"(37.723888888888887, -122.49299999999999)",81,37.72388888888889,-122.493
128,"(37.713999999999999, -122.49299999999999)",2194,37.714,-122.493
129,"(37.802999999999997, -122.47799999999999)",1888,37.803,-122.478
130,"(37.793111111111109, -122.47799999999999)",863,37.79311111111111,-122.478
131,"(37.783222222222221, -122.47799999999999)",28,37.78322222222222,-122.478
132,"(37.773333333333333, -122.47799999999999)",869,37.77333333333333,-122.478
133,"(37.763444444444445, -122.47799999999999)",1348,37.763444444444445,-122.478
134,"(37.75355555555555, -122.47799999999999)",1137,37.75355555555555,-122.478
135,"(37.743666666666662, -122.47799999999999)",1062,37.74366666666666,-122.478
136,"(37.733777777777775, -122.47799999999999)",2,37.733777777777775,-122.478
137,"(37.723888888888887, -122.47799999999999)",5648,37.72388888888889,-122.478
138,"(37.713999999999999, -122.47799999999999)",3101,37.714,-122.478
139,"(37.802999999999997, -122.46299999999999)",3591,37.803,-122.463
140,"(37.793111111111109, -122.46299999999999)",2586,37.79311111111111,-122.463
141,"(37.783222222222221, -122.46299999999999)",5479,37.78322222222222,-122.463
142,"(37.773333333333333, -122.46299999999999)",2760,37.77333333333333,-122.463
143,"(37.763444444444445, -122.46299999999999)",29644,37.763444444444445,-122.463
144,"(37.75355555555555, -122.46299999999999)",598,37.75355555555555,-122.463
145,"(37.743666666666662, -122.46299999999999)",255,37.74366666666666,-122.463
146,"(37.733777777777775, -122.46299999999999)",186,37.733777777777775,-122.463
147,"(37.723888888888887, -122.46299999999999)",735,37.72388888888889,-122.463
148,"(37.713999999999999, -122.46299999999999)",858,37.714,-122.463
149,"(37.802999999999997, -122.44799999999999)",3231,37.803,-122.448
150,"(37.793111111111109, -122.44799999999999)",1286,37.79311111111111,-122.448
151,"(37.783222222222221, -122.44799999999999)",23,37.78322222222222,-122.448
152,"(37.773333333333333, -122.44799999999999)",2403,37.77333333333333,-122.448
153,"(37.763444444444445, -122.44799999999999)",1316,37.763444444444445,-122.448
154,"(37.75355555555555, -122.44799999999999)",967,37.75355555555555,-122.448
155,"(37.743666666666662, -122.44799999999999)",329,37.74366666666666,-122.448
156,"(37.733777777777775, -122.44799999999999)",1,37.733777777777775,-122.448
157,"(37.723888888888887, -122.44799999999999)",576,37.72388888888889,-122.448
158,"(37.713999999999999, -122.44799999999999)",1280,37.714,-122.448
159,"(37.802999999999997, -122.43300000000001)",2176,37.803,-122.433
160,"(37.793111111111109, -122.43300000000001)",2258,37.79311111111111,-122.433
161,"(37.783222222222221, -122.43300000000001)",4627,37.78322222222222,-122.433
162,"(37.773333333333333, -122.43300000000001)",1359,37.77333333333333,-122.433
163,"(37.763444444444445, -122.43300000000001)",1500,37.763444444444445,-122.433
164,"(37.75355555555555, -122.43300000000001)",1246,37.75355555555555,-122.433
165,"(37.743666666666662, -122.43300000000001)",2,37.74366666666666,-122.433
166,"(37.733777777777775, -122.43300000000001)",783,37.733777777777775,-122.433
167,"(37.723888888888887, -122.43300000000001)",3,37.72388888888889,-122.433
168,"(37.713999999999999, -122.43300000000001)",1459,37.714,-122.433
169,"(37.802999999999997, -122.41800000000001)",3672,37.803,-122.418
170,"(37.793111111111109, -122.41800000000001)",48,37.79311111111111,-122.418
171,"(37.783222222222221, -122.41800000000001)",9241,37.78322222222222,-122.418
172,"(37.773333333333333, -122.41800000000001)",80,37.77333333333333,-122.418
173,"(37.763444444444445, -122.41800000000001)",3412,37.763444444444445,-122.418
174,"(37.75355555555555, -122.41800000000001)",68,37.75355555555555,-122.418
175,"(37.743666666666662, -122.41800000000001)",1508,37.74366666666666,-122.418
176,"(37.733777777777775, -122.41800000000001)",560,37.733777777777775,-122.418
177,"(37.723888888888887, -122.41800000000001)",1021,37.72388888888889,-122.418
178,"(37.713999999999999, -122.41800000000001)",1163,37.714,-122.418
179,"(37.802999999999997, -122.40300000000001)",7623,37.803,-122.403
180,"(37.793111111111109, -122.40300000000001)",66,37.79311111111111,-122.403
181,"(37.783222222222221, -122.40300000000001)",14531,37.78322222222222,-122.403
182,"(37.773333333333333, -122.40300000000001)",7038,37.77333333333333,-122.403
183,"(37.763444444444445, -122.40300000000001)",3459,37.763444444444445,-122.403
184,"(37.75355555555555, -122.40300000000001)",1355,37.75355555555555,-122.403
185,"(37.743666666666662, -122.40300000000001)",4894,37.74366666666666,-122.403
186,"(37.733777777777775, -122.40300000000001)",904,37.733777777777775,-122.403
187,"(37.723888888888887, -122.40300000000001)",4,37.72388888888889,-122.403
188,"(37.713999999999999, -122.40300000000001)",718,37.714,-122.403
189,"(37.802999999999997, -122.38800000000001)",28318,37.803,-122.388
190,"(37.793111111111109, -122.38800000000001)",29150,37.79311111111111,-122.388
191,"(37.783222222222221, -122.38800000000001)",29302,37.78322222222222,-122.388
192,"(37.773333333333333, -122.38800000000001)",8135,37.77333333333333,-122.388
193,"(37.763444444444445, -122.38800000000001)",4108,37.763444444444445,-122.388
194,"(37.75355555555555, -122.38800000000001)",3,37.75355555555555,-122.388
195,"(37.743666666666662, -122.38800000000001)",3078,37.74366666666666,-122.388
196,"(37.733777777777775, -122.38800000000001)",1107,37.733777777777775,-122.388
197,"(37.723888888888887, -122.38800000000001)",2208,37.72388888888889,-122.388
198,"(37.713999999999999, -122.38800000000001)",1525,37.714,-122.388
199,"(37.802999999999997, -122.373)",25120,37.803,-122.373
200,"(37.793111111111109, -122.373)",25820,37.79311111111111,-122.373
201,"(37.783222222222221, -122.373)",27619,37.78322222222222,-122.373
202,"(37.773333333333333, -122.373)",3,37.77333333333333,-122.373
203,"(37.763444444444445, -122.373)",6727,37.763444444444445,-122.373
204,"(37.75355555555555, -122.373)",4140,37.75355555555555,-122.373
205,"(37.743666666666662, -122.373)",2947,37.74366666666666,-122.373
206,"(37.733777777777775, -122.373)",1599,37.733777777777775,-122.373
207,"(37.723888888888887, -122.373)",1377,37.72388888888889,-122.373
208,"(37.713999999999999, -122.373)",1816,37.714,-122.373
