latlon,pop

"(37.78591077655136, -122.43112564086914)",23

"(37.76135133865818, -122.45859146118164)",29131

"(37.75537985600267, -122.4287223815918)",658

"(37.778584505321376, -122.43764877319336)",2203

"(37.77302148107203, -122.4148178100586)",9696

"(37.75347973770911, -122.43507385253906)",631

"(37.76990057687583, -122.42855072021484)",1859

"(37.7537511861673, -122.43232727050781)",1183

"(37.7654225277299, -122.4312973022461)",2010

"(37.75470124792826, -122.4591064453125)",1339

"(37.75429408009598, -122.43318557739258)",1026

"(37.745335820889935, -122.43078231811523)",661

"(37.7557870178596, -122.4312973022461)",701

"(37.766915240907736, -122.43181228637695)",2345

"(37.75537985600267, -122.43764877319336)",0

"(37.766915240907736, -122.4319839477539)",1992

"(37.75565129748959, -122.42992401123047)",15

"(37.756329896849834, -122.42717742919922)",703

"(37.755108413519835, -122.43249893188477)",456

"(37.75565129748959, -122.41533279418945)",61

"(37.769086406291294, -122.4319839477539)",2210

"(37.75592273798062, -122.43078231811523)",19

"(37.76867931763745, -122.43112564086914)",2397

"(37.753615462062704, -122.43009567260742)",1280

"(37.75551557687063, -122.41378784179688)",1928

"(37.769086406291294, -122.431640625)",1345

"(37.7557870178596, -122.43627548217773)",707

"(37.770443352285376, -122.4290657043457)",18

"(37.75565129748959, -122.41533279418945)",61

"(37.769086406291294, -122.431640625)",1345

"(37.76365837331252, -122.41413116455078)",4880

"(37.77329285782031, -122.43026733398438)",1623

"(37.756329896849834, -122.43352890014648)",976

"(37.75673705347827, -122.43215560913086)",822

"(37.77234303484358, -122.42940902709961)",19

"(37.769629187677005, -122.4312973022461)",2100

"(37.76555823017286, -122.41790771484375)",5538

"(37.75334401310656, -122.43524551391602)",16

"(37.78061965350541, -122.43833541870117)",5666

"(37.75171529845649, -122.42563247680664)",784

"(37.76990057687583, -122.42717742919922)",3450

"(37.75171529845649, -122.42563247680664)",784

"(37.77085043122795, -122.4261474609375)",2968

"(37.77559951996456, -122.44863510131836)",3085

"(37.75171529845649, -122.42563247680664)",784

"(37.77654930110635, -122.44434356689453)",1858

"(37.751172385606196, -122.42477416992188)",1198

"(37.77302148107203, -122.43387222290039)",1374

"(37.7518849579053, -122.42507457733154)",793

"(37.75144384252926, -122.4261474609375)",824

"(37.751851026046666, -122.42563247680664)",801

"(37.75280111220671, -122.42683410644531)",665

"(37.750765198354316, -122.42837905883789)",1038

"(37.76420119453823, -122.41310119628906)",5474

"(37.75415835698726, -122.43524551391602)",72

"(37.75090092768723, -122.42511749267578)",345

"(37.75210551460718, -122.42033243179321)",3059

"(37.74930609230181, -122.41515576839447)",1180

"(37.75741564287944, -122.43078231811523)",709

"(37.779127216982424, -122.4371337890625)",3299

"(37.77071473849609, -122.42820739746094)",3122

"(37.75470124792826, -122.43593215942383)",601

"(37.75768707689704, -122.43885040283203)",855

"(37.77641361883315, -122.4422836303711)",2602

"(37.75196978748383, -122.43091106414795)",2

"(37.75196978748383, -122.43091106414795)",2

"(37.754429802955705, -122.43387222290039)",318

"(37.75619417747575, -122.43627548217773)",451

"(37.7697648824009, -122.43215560913086)",7

"(37.75320828825508, -122.43473052978516)",1008

"(37.751783162282706, -122.4250316619873)",1165

"(37.74360512310431, -122.43297100067139)",80

"(37.76060492968732, -122.42481708526611)",3216

"(37.751036656771205, -122.42511749267578)",801

"(37.7542092531822, -122.41846561431885)",2779

"(37.754972691904946, -122.43095397949219)",656

"(37.75537985600267, -122.40988254547119)",500

"(37.75768707689704, -122.43833541870117)",570

"(37.76969703507008, -122.44872093200684)",7

"(37.779466409747215, -122.45687484741211)",14

"(37.756533475444144, -122.42983818054199)",556

"(37.759824584982816, -122.44905352592468)",443

"(37.751053622889174, -122.44138240814209)",689

"(37.753615462062704, -122.43438720703125)",1024

"(37.755108413519835, -122.43352890014648)",490

"(37.755108413519835, -122.4342155456543)",570

"(37.7513590123478, -122.4381422996521)",878

"(37.748067526216424, -122.43037462234497)",798

"(37.75741564287944, -122.41121292114258)",97

"(37.7557870178596, -122.43438720703125)",3

"(37.75083306305191, -122.42595434188843)",1066

"(37.75415835698726, -122.43661880493164)",930

"(37.754429802955705, -122.43026733398438)",1145

"(37.75619417747575, -122.43146896362305)",704

"(37.7543789069125, -122.42421627044678)",569

"(37.756872771856465, -122.43043899536133)",630

"(37.7537511861673, -122.4312973022461)",363

"(37.75565129748959, -122.43009567260742)",2

"(37.75822994194451, -122.43352890014648)",814

"(37.7855037805344, -122.47601509094238)",1143

"(37.75714420786591, -122.43026733398438)",408

"(37.75453159493713, -122.4216628074646)",1548

"(37.75006958148609, -122.4280786511008)",29

"(37.749832052321516, -122.41649150815647)",2478

"(37.79038758480464, -122.4616813659668)",905

"(37.75429408009598, -122.43181228637695)",875

"(37.74764335498358, -122.4319839477539)",473

"(37.756872771856465, -122.43318557739258)",893

"(37.74995081712854, -122.47798919677734)",640

"(37.75062946877242, -122.49155044555664)",759

"(37.776277936310926, -122.44176864624023)",1721

"(37.75483697004112, -122.43507385253906)",402

"(37.75470124792826, -122.43593215942383)",1

"(37.75144384252926, -122.46700286865234)",410

"(37.74954362315467, -122.47232437133789)",569

"(37.75334401310656, -122.4726676940918)",678

"(37.75293683780512, -122.48279571533203)",640

"(37.75592273798062, -122.43730545043945)",238

"(37.75239393391763, -122.48090744018555)",909

"(37.75565129748959, -122.43661880493164)",24

"(37.75415835698726, -122.4371337890625)",373

"(37.751851026046666, -122.46906280517578)",407

"(37.74139927315054, -122.46786117553711)",2

"(37.763522667383626, -122.464599609375)",1508

"(37.754565525566484, -122.43387222290039)",391

"(37.75470124792826, -122.43095397949219)",14

"(37.756092387781784, -122.42915153503418)",9

"(37.75473517847984, -122.42249965667725)",1467

"(37.75626203719391, -122.43709087371826)",394

"(37.75347973770911, -122.43507385253906)",535

"(37.754429802955705, -122.4345588684082)",28

"(37.75402263362956, -122.43473052978516)",545

"(37.75429408009598, -122.43318557739258)",918

"(37.75592273798062, -122.43215560913086)",449

"(37.756872771856465, -122.43473052978516)",6

"(37.75673705347827, -122.4319839477539)",4

"(37.75646561597495, -122.43473052978516)",7

"(37.75565129748959, -122.43026733398438)",238

"(37.78041614327868, -122.41014003753662)",7056

"(37.78275649879412, -122.42361545530002)",2998

"(37.75714420786591, -122.43644714355469)",265

"(37.75616024759331, -122.42947340011597)",682

"(37.75987547727969, -122.42430210113525)",1772
